rank,package,version,trustScore,confidence
354,esbuild-linux-riscv64,0.15.18,81.5,95
355,glob-parent,6.0.2,81.5,95
356,signal-exit,4.1.0,81.5,95
357,esbuild-android-64,0.15.18,81.5,95
358,interpret,3.1.1,81.5,95
359,css-to-react-native,3.2.0,81.5,95
360,@nuxt/webpack,2.18.1,81.5,95
361,react-base16-styling,0.10.0,81.5,95
362,source-map-loader,5.0.0,81.5,95
363,micromark-util-types,2.0.2,81.5,95
364,react-helmet,6.1.0,81.41,95
365,immutability-helper,3.1.1,81.4,95
366,mjml-migrate,4.18.0,81.39,95
367,react-router,8.3.0,81.3,95
368,@rollup/pluginutils,5.4.0,81.29,95
369,fastify,5.10.0,81.28,95
370,@aws-sdk/client-sso,3.1095.0,81.27,95
371,@aws-sdk/client-sts,3.1095.0,81.27,95
372,@aws-sdk/client-s3,3.1095.0,81.27,95
373,lodash.get,4.4.2,81.26,95
374,lodash.includes,4.3.0,81.26,95
375,lodash.isplainobject,4.0.6,81.26,95
376,lodash.truncate,4.4.2,81.26,95
377,lodash.union,4.6.0,81.26,95
378,lodash.set,4.3.2,81.26,95
379,lodash.ismatch,4.4.0,81.26,95
380,lodash.foreach,4.5.0,81.26,95
381,lodash.maxby,4.6.0,81.26,95
382,ts-loader,9.6.2,81.21,95
383,string_decoder,1.3.0,81.16,95
384,proxyquire,2.1.3,81.16,95
385,node-addon-api,8.9.0,81.15,95
386,@vue/reactivity,3.5.40,81.14,95
387,cron,4.4.0,81.13,95
388,styled-components,6.4.4,81.1,95
389,merge-stream,2.0.0,81.1,95
390,combined-stream,1.0.8,81.09,95
391,eventemitter3,5.0.4,81.07,95
392,@wdio/config,9.30.0,81.06,95
393,ts-jest,29.4.12,81.05,95
394,cors,2.8.6,81.03,95
395,ts-node,10.9.2,81,95
396,eslint-plugin-react,7.37.5,81,95
397,tsconfig-paths,4.2.0,81,95
398,@welldone-software/why-did-you-render,10.0.1,81,95
399,recharts,3.10.1,80.99,95
400,@floating-ui/react-dom,2.1.9,80.95,95
401,fabric,7.4.0,80.94,95
402,config,4.4.2,80.89,95
403,minimatch,10.2.5,80.86,95
404,react-dates,21.8.0,80.8,95
405,webpack-sources,3.5.1,80.77,95
406,html-webpack-plugin,5.6.8,80.76,95
407,type-is,2.1.0,80.76,95
408,prop-types,15.8.1,80.75,95
409,webpack-dev-middleware,8.1.0,80.75,95
410,@svgr/core,8.1.0,80.75,95
411,stackframe,1.3.4,80.75,95
412,node-sass,9.0.0,80.75,95
413,@npmcli/move-file,3.0.0,80.75,95
414,scroll-into-view-if-needed,3.1.0,80.75,95
415,postcss-loader,8.2.1,80.7,95
416,xmlbuilder,15.1.1,80.61,95
417,validate-npm-package-name,8.0.0,80.57,95
418,@vercel/node,5.8.27,80.52,95
419,human-signals,8.0.1,80.5,95
420,ansi-colors,4.1.3,80.5,95
421,change-case,5.4.4,80.5,95
422,resolve.exports,2.0.3,80.5,95
423,@tailwindcss/postcss7-compat,2.2.17,80.5,95
424,node-emoji,2.2.0,80.5,95
425,d3-time,3.1.0,80.5,95
426,@docusaurus/core,3.10.2,80.46,95
427,bson,7.3.1,80.43,95
428,@material-ui/types,5.1.0,80.39,95
429,react-router-dom,7.18.1,80.36,95
430,@octokit/request,10.0.11,80.36,95
431,downshift,9.4.0,80.35,95
432,@prisma/client,7.9.0,80.32,95
433,ky,2.0.2,80.31,95
434,babel-plugin-transform-react-remove-prop-types,0.4.24,80.26,95
435,@webassemblyjs/wasm-edit,1.14.1,80.25,95
436,@webpack-cli/info,3.0.1,80.25,95
437,react-docgen-typescript,2.4.0,80.25,95
438,react-popper-tooltip,4.4.2,80.25,95
439,node-forge,1.4.0,80.19,95
440,@wdio/utils,9.30.0,80.06,95
441,webdriver,9.30.0,80.06,95
442,eslint-webpack-plugin,6.0.0,80.06,95
443,kind-of,6.0.3,80.04,95
444,@aws-sdk/util-arn-parser,3.972.30,80.02,95
445,@material-ui/core,4.12.4,80,95
446,@material-ui/styles,4.11.5,80,95
447,fork-ts-checker-webpack-plugin,9.1.0,80,95
448,apollo-server-express,3.13.0,80,95
449,finalhandler,2.1.1,79.99,95
450,socket.io,4.8.3,79.94,95
451,raw-body,4.0.0,79.94,95
452,nanoid,6.0.0,79.93,95
453,@rollup/plugin-node-resolve,16.0.3,79.92,95
454,minipass,7.1.3,79.9,95
455,lodash.isobject,3.0.2,79.89,95
456,lodash.mergewith,4.6.2,79.89,95
457,lodash.defaultsdeep,4.6.1,79.89,95
458,ts-toolbelt,9.6.0,79.89,95
459,tsutils,3.21.0,79.88,95
460,ini,7.0.0,79.82,95
461,create-hmac,1.1.7,79.76,95
462,@svgr/webpack,8.1.0,79.75,95
463,webpack-merge,6.0.1,79.75,95
464,cross-fetch,4.1.0,79.75,95
465,framesync,6.1.2,79.75,95
466,resolve-url-loader,5.0.0,79.75,95
467,lowdb,7.0.1,79.75,95
468,postcss-js,5.1.0,79.72,95
469,antd,6.5.2,79.69,95
470,qs,6.15.3,79.68,95
471,raf,3.4.1,79.68,95
472,@octokit/types,16.0.0,79.67,95
473,babel-loader,10.1.1,79.65,95
474,eslint-plugin-node,11.1.0,79.6,95
475,vscode-languageserver,10.1.0,79.59,95
476,schema-utils,4.3.3,79.56,95
477,color-name,2.1.1,79.55,95
478,@svgr/babel-plugin-transform-react-native-svg,8.1.0,79.5,95
479,camel-case,5.0.0,79.5,95
480,escalade,3.2.0,79.5,95
481,sentence-case,4.0.0,79.5,95
482,lilconfig,3.1.3,79.5,95
483,compute-scroll-into-view,3.1.1,79.5,95
484,redis-parser,3.0.0,79.5,95
485,lodash.isfunction,3.0.9,79.46,95
486,pg-types,4.1.0,79.44,95
487,mini-css-extract-plugin,2.10.2,79.42,95
488,nodemailer,9.0.3,79.35,95
489,stylus-loader,9.0.0,79.34,95
